date,datetime,metric,value,source
2019-02-06,2019-02-06 22:29:35 +0900,body_mass_kg,64.6,PICOOC
2019-02-06,2019-02-06 22:29:35 +0900,lean_body_mass_kg,42.8,PICOOC
2019-02-09,2019-02-09 11:12:45 +0900,bmi,22.6,PICOOC
2019-02-09,2019-02-09 11:12:45 +0900,body_fat_pct,33.2,PICOOC
2019-02-09,2019-02-09 11:12:45 +0900,body_mass_kg,63.8,PICOOC
2019-02-09,2019-02-09 11:12:45 +0900,lean_body_mass_kg,42.6,PICOOC
2019-02-19,2019-02-19 09:06:38 +0900,bmi,22.7,PICOOC
2019-02-19,2019-02-19 09:06:38 +0900,body_fat_pct,32.5,PICOOC
2019-02-19,2019-02-19 09:06:38 +0900,body_mass_kg,64.2,PICOOC
2019-02-19,2019-02-19 09:06:38 +0900,lean_body_mass_kg,43.3,PICOOC
2019-03-31,2019-03-31 14:01:13 +0900,bmi,22.6,PICOOC
2019-03-31,2019-03-31 14:01:13 +0900,body_fat_pct,34.7,PICOOC
2019-03-31,2019-03-31 14:01:13 +0900,body_mass_kg,63.9,PICOOC
2019-03-31,2019-03-31 14:01:13 +0900,lean_body_mass_kg,41.7,PICOOC
2019-05-11,2019-05-11 09:16:44 +0900,bmi,22.6,PICOOC
2019-05-11,2019-05-11 09:16:44 +0900,body_fat_pct,31.7,PICOOC
2019-05-11,2019-05-11 09:16:44 +0900,body_mass_kg,63.7,PICOOC
2019-05-11,2019-05-11 09:16:44 +0900,lean_body_mass_kg,43.5,PICOOC
2019-06-06,2019-06-06 12:38:59 +0900,bmi,22.6,PICOOC
2019-06-06,2019-06-06 12:38:59 +0900,body_fat_pct,32.3,PICOOC
2019-06-06,2019-06-06 12:38:59 +0900,body_mass_kg,63.9,PICOOC
2019-06-06,2019-06-06 12:38:59 +0900,lean_body_mass_kg,43.3,PICOOC
2019-06-17,2019-06-17 10:38:50 +0900,bmi,22.6,PICOOC
2019-06-17,2019-06-17 10:38:50 +0900,body_fat_pct,31.2,PICOOC
2019-06-17,2019-06-17 10:38:50 +0900,body_mass_kg,63.7,PICOOC
2019-06-17,2019-06-17 10:38:50 +0900,lean_body_mass_kg,43.8,PICOOC
2020-04-04,2020-04-04 16:41:08 +0900,bmi,23.1,PICOOC
2020-04-04,2020-04-04 16:41:08 +0900,body_fat_pct,34.7,PICOOC
2020-04-04,2020-04-04 16:41:08 +0900,body_mass_kg,65.2,PICOOC
2020-04-04,2020-04-04 16:41:08 +0900,lean_body_mass_kg,42.6,PICOOC
2020-04-06,2020-04-06 00:49:58 +0900,bmi,23.0,PICOOC
2020-04-06,2020-04-06 00:49:58 +0900,body_fat_pct,34.0,PICOOC
2020-04-06,2020-04-06 00:49:58 +0900,body_mass_kg,65.0,PICOOC
2020-04-06,2020-04-06 00:49:58 +0900,lean_body_mass_kg,42.9,PICOOC
2020-04-07,2020-04-07 22:08:33 +0900,bmi,22.8,PICOOC
2020-04-07,2020-04-07 22:08:33 +0900,body_fat_pct,34.5,PICOOC
2020-04-07,2020-04-07 22:08:33 +0900,body_mass_kg,64.3,PICOOC
2020-04-07,2020-04-07 22:08:33 +0900,lean_body_mass_kg,42.1,PICOOC
2020-04-08,2020-04-08 01:50:41 +0900,bmi,22.6,PICOOC
2020-04-08,2020-04-08 01:50:41 +0900,body_fat_pct,35.1,PICOOC
2020-04-08,2020-04-08 01:50:41 +0900,body_mass_kg,63.8,PICOOC
2020-04-08,2020-04-08 01:50:41 +0900,lean_body_mass_kg,41.4,PICOOC
2020-04-08,2020-04-08 13:04:08 +0900,bmi,22.6,PICOOC
2020-04-08,2020-04-08 13:04:08 +0900,body_fat_pct,35.7,PICOOC
2020-04-08,2020-04-08 13:04:08 +0900,body_mass_kg,63.9,PICOOC
2020-04-08,2020-04-08 13:04:08 +0900,lean_body_mass_kg,41.1,PICOOC
2020-04-09,2020-04-09 00:43:55 +0900,bmi,22.8,PICOOC
2020-04-09,2020-04-09 00:43:55 +0900,body_fat_pct,35.0,PICOOC
2020-04-09,2020-04-09 00:43:55 +0900,body_mass_kg,64.3,PICOOC
2020-04-09,2020-04-09 00:43:55 +0900,lean_body_mass_kg,41.8,PICOOC
2020-04-10,2020-04-10 09:15:28 +0900,bmi,22.8,PICOOC
2020-04-10,2020-04-10 09:15:28 +0900,body_fat_pct,34.1,PICOOC
2020-04-10,2020-04-10 09:15:28 +0900,body_mass_kg,64.4,PICOOC
2020-04-10,2020-04-10 09:15:28 +0900,lean_body_mass_kg,42.4,PICOOC
2020-04-11,2020-04-11 00:21:27 +0900,bmi,22.8,PICOOC
2020-04-11,2020-04-11 00:21:27 +0900,body_fat_pct,32.6,PICOOC
2020-04-11,2020-04-11 00:21:27 +0900,body_mass_kg,64.4,PICOOC
2020-04-11,2020-04-11 00:21:27 +0900,lean_body_mass_kg,43.4,PICOOC
2020-04-11,2020-04-11 07:08:27 +0900,bmi,22.8,PICOOC
2020-04-11,2020-04-11 07:08:27 +0900,body_fat_pct,33.1,PICOOC
2020-04-11,2020-04-11 07:08:27 +0900,body_mass_kg,64.4,PICOOC
2020-04-11,2020-04-11 07:08:27 +0900,lean_body_mass_kg,43.1,PICOOC
2020-04-11,2020-04-11 10:43:26 +0900,bmi,22.8,PICOOC
2020-04-11,2020-04-11 10:43:26 +0900,body_fat_pct,33.6,PICOOC
2020-04-11,2020-04-11 10:43:26 +0900,body_mass_kg,64.4,PICOOC
2020-04-11,2020-04-11 10:43:26 +0900,lean_body_mass_kg,42.8,PICOOC
2020-04-12,2020-04-12 07:31:07 +0900,bmi,22.8,PICOOC
2020-04-12,2020-04-12 07:31:07 +0900,body_fat_pct,33.1,PICOOC
2020-04-12,2020-04-12 07:31:07 +0900,body_mass_kg,64.4,PICOOC
2020-04-12,2020-04-12 07:31:07 +0900,lean_body_mass_kg,43.1,PICOOC
2020-04-12,2020-04-12 21:59:11 +0900,bmi,23.0,PICOOC
2020-04-12,2020-04-12 21:59:11 +0900,body_fat_pct,33.5,PICOOC
2020-04-12,2020-04-12 21:59:11 +0900,body_mass_kg,64.8,PICOOC
2020-04-12,2020-04-12 21:59:11 +0900,lean_body_mass_kg,43.1,PICOOC
2020-04-13,2020-04-13 02:30:02 +0900,bmi,22.8,PICOOC
2020-04-13,2020-04-13 02:30:02 +0900,body_fat_pct,32.6,PICOOC
2020-04-13,2020-04-13 02:30:02 +0900,body_mass_kg,64.4,PICOOC
2020-04-13,2020-04-13 02:30:02 +0900,lean_body_mass_kg,43.4,PICOOC
2020-04-13,2020-04-13 12:18:35 +0900,bmi,22.7,PICOOC
2020-04-13,2020-04-13 12:18:35 +0900,body_fat_pct,32.9,PICOOC
2020-04-13,2020-04-13 12:18:35 +0900,body_mass_kg,64.2,PICOOC
2020-04-13,2020-04-13 12:18:35 +0900,lean_body_mass_kg,43.1,PICOOC
2020-04-14,2020-04-14 06:04:20 +0900,bmi,22.5,PICOOC
2020-04-14,2020-04-14 06:04:20 +0900,body_fat_pct,32.6,PICOOC
2020-04-14,2020-04-14 06:04:20 +0900,body_mass_kg,63.6,PICOOC
2020-04-14,2020-04-14 06:04:20 +0900,lean_body_mass_kg,42.9,PICOOC
2020-04-15,2020-04-15 01:06:57 +0900,bmi,22.6,PICOOC
2020-04-15,2020-04-15 01:06:57 +0900,body_fat_pct,31.7,PICOOC
2020-04-15,2020-04-15 01:06:57 +0900,body_mass_kg,63.9,PICOOC
2020-04-15,2020-04-15 01:06:57 +0900,lean_body_mass_kg,43.6,PICOOC
2020-04-15,2020-04-15 08:55:18 +0900,bmi,22.5,PICOOC
2020-04-15,2020-04-15 08:55:18 +0900,body_fat_pct,32.6,PICOOC
2020-04-15,2020-04-15 08:55:18 +0900,body_mass_kg,63.6,PICOOC
2020-04-15,2020-04-15 08:55:18 +0900,lean_body_mass_kg,42.9,PICOOC
2020-04-16,2020-04-16 01:18:18 +0900,bmi,22.6,PICOOC
2020-04-16,2020-04-16 01:18:18 +0900,body_fat_pct,33.1,PICOOC
2020-04-16,2020-04-16 01:18:18 +0900,body_mass_kg,63.8,PICOOC
2020-04-16,2020-04-16 01:18:18 +0900,lean_body_mass_kg,42.7,PICOOC
2020-04-16,2020-04-16 08:08:56 +0900,bmi,22.4,PICOOC
2020-04-16,2020-04-16 08:08:56 +0900,body_fat_pct,32.8,PICOOC
2020-04-16,2020-04-16 08:08:56 +0900,body_mass_kg,63.3,PICOOC
2020-04-16,2020-04-16 08:08:56 +0900,lean_body_mass_kg,42.5,PICOOC
2020-04-16,2020-04-16 12:23:04 +0900,bmi,22.5,PICOOC
2020-04-16,2020-04-16 12:23:04 +0900,body_fat_pct,33.0,PICOOC
2020-04-16,2020-04-16 12:23:04 +0900,body_mass_kg,63.5,PICOOC
2020-04-16,2020-04-16 12:23:04 +0900,lean_body_mass_kg,42.5,PICOOC
2020-04-17,2020-04-17 09:10:33 +0900,bmi,22.5,PICOOC
2020-04-17,2020-04-17 09:10:33 +0900,body_fat_pct,32.6,PICOOC
2020-04-17,2020-04-17 09:10:33 +0900,body_mass_kg,63.6,PICOOC
2020-04-17,2020-04-17 09:10:33 +0900,lean_body_mass_kg,42.9,PICOOC
2020-04-18,2020-04-18 10:08:59 +0900,bmi,22.6,PICOOC
2020-04-18,2020-04-18 10:08:59 +0900,body_fat_pct,32.2,PICOOC
2020-04-18,2020-04-18 10:08:59 +0900,body_mass_kg,63.9,PICOOC
2020-04-18,2020-04-18 10:08:59 +0900,lean_body_mass_kg,43.3,PICOOC
2020-04-19,2020-04-19 06:11:57 +0900,bmi,22.5,PICOOC
2020-04-19,2020-04-19 06:11:57 +0900,body_fat_pct,31.0,PICOOC
2020-04-19,2020-04-19 06:11:57 +0900,body_mass_kg,63.5,PICOOC
2020-04-19,2020-04-19 06:11:57 +0900,lean_body_mass_kg,43.8,PICOOC
2020-04-19,2020-04-19 23:28:27 +0900,bmi,22.5,PICOOC
2020-04-19,2020-04-19 23:28:27 +0900,body_fat_pct,30.6,PICOOC
2020-04-19,2020-04-19 23:28:27 +0900,body_mass_kg,64.3,PICOOC
2020-04-19,2020-04-19 23:28:27 +0900,lean_body_mass_kg,44.6,PICOOC
2020-04-20,2020-04-20 07:29:12 +0900,bmi,22.5,PICOOC
2020-04-20,2020-04-20 07:29:12 +0900,body_fat_pct,31.5,PICOOC
2020-04-20,2020-04-20 07:29:12 +0900,body_mass_kg,64.2,PICOOC
2020-04-20,2020-04-20 07:29:12 +0900,lean_body_mass_kg,44.0,PICOOC
2020-04-20,2020-04-20 10:09:04 +0900,bmi,22.4,PICOOC
2020-04-20,2020-04-20 10:09:04 +0900,body_fat_pct,31.7,PICOOC
2020-04-20,2020-04-20 10:09:04 +0900,body_mass_kg,63.9,PICOOC
2020-04-20,2020-04-20 10:09:04 +0900,lean_body_mass_kg,43.6,PICOOC
2020-04-21,2020-04-21 13:02:50 +0900,bmi,22.4,PICOOC
2020-04-21,2020-04-21 13:02:50 +0900,body_fat_pct,31.7,PICOOC
2020-04-21,2020-04-21 13:02:50 +0900,body_mass_kg,63.9,PICOOC
2020-04-21,2020-04-21 13:02:50 +0900,lean_body_mass_kg,43.6,PICOOC
2020-04-22,2020-04-22 05:15:51 +0900,bmi,22.2,PICOOC
2020-04-22,2020-04-22 05:15:51 +0900,body_fat_pct,32.8,PICOOC
2020-04-22,2020-04-22 05:15:51 +0900,body_mass_kg,63.5,PICOOC
2020-04-22,2020-04-22 05:15:51 +0900,lean_body_mass_kg,42.7,PICOOC
2020-04-22,2020-04-22 12:33:48 +0900,bmi,22.3,PICOOC
2020-04-22,2020-04-22 12:33:48 +0900,body_fat_pct,31.9,PICOOC
2020-04-22,2020-04-22 12:33:48 +0900,body_mass_kg,63.6,PICOOC
2020-04-22,2020-04-22 12:33:48 +0900,lean_body_mass_kg,43.3,PICOOC
2020-04-22,2020-04-22 23:04:49 +0900,bmi,22.3,PICOOC
2020-04-22,2020-04-22 23:04:49 +0900,body_fat_pct,31.5,PICOOC
2020-04-22,2020-04-22 23:04:49 +0900,body_mass_kg,63.7,PICOOC
2020-04-22,2020-04-22 23:04:49 +0900,lean_body_mass_kg,43.6,PICOOC
2020-04-23,2020-04-23 08:19:37 +0900,bmi,22.1,PICOOC
2020-04-23,2020-04-23 08:19:37 +0900,body_fat_pct,32.1,PICOOC
2020-04-23,2020-04-23 08:19:37 +0900,body_mass_kg,63.2,PICOOC
2020-04-23,2020-04-23 08:19:37 +0900,lean_body_mass_kg,42.9,PICOOC
2020-04-24,2020-04-24 09:14:53 +0900,bmi,22.2,PICOOC
2020-04-24,2020-04-24 09:14:53 +0900,body_fat_pct,32.2,PICOOC
2020-04-24,2020-04-24 09:14:53 +0900,body_mass_kg,63.3,PICOOC
2020-04-24,2020-04-24 09:14:53 +0900,lean_body_mass_kg,42.9,PICOOC
2020-04-25,2020-04-25 01:13:40 +0900,bmi,22.2,PICOOC
2020-04-25,2020-04-25 01:13:40 +0900,body_fat_pct,29.5,PICOOC
2020-04-25,2020-04-25 01:13:40 +0900,body_mass_kg,63.4,PICOOC
2020-04-25,2020-04-25 01:13:40 +0900,lean_body_mass_kg,44.7,PICOOC
2020-04-25,2020-04-25 11:23:24 +0900,bmi,22.1,PICOOC
2020-04-25,2020-04-25 11:23:24 +0900,body_fat_pct,32.1,PICOOC
2020-04-25,2020-04-25 11:23:24 +0900,body_mass_kg,63.1,PICOOC
2020-04-25,2020-04-25 11:23:24 +0900,lean_body_mass_kg,42.8,PICOOC
2020-04-25,2020-04-25 11:54:48 +0900,bmi,22.2,PICOOC
2020-04-25,2020-04-25 11:54:48 +0900,body_fat_pct,31.7,PICOOC
2020-04-25,2020-04-25 11:54:48 +0900,body_mass_kg,63.3,PICOOC
2020-04-25,2020-04-25 11:54:48 +0900,lean_body_mass_kg,43.2,PICOOC
2020-04-26,2020-04-26 09:59:02 +0900,bmi,22.3,PICOOC
2020-04-26,2020-04-26 09:59:02 +0900,body_fat_pct,31.5,PICOOC
2020-04-26,2020-04-26 09:59:02 +0900,body_mass_kg,63.7,PICOOC
2020-04-26,2020-04-26 09:59:02 +0900,lean_body_mass_kg,43.6,PICOOC
2020-04-27,2020-04-27 07:09:36 +0900,bmi,22.1,PICOOC
2020-04-27,2020-04-27 07:09:36 +0900,body_fat_pct,30.8,PICOOC
2020-04-27,2020-04-27 07:09:36 +0900,body_mass_kg,63.2,PICOOC
2020-04-27,2020-04-27 07:09:36 +0900,lean_body_mass_kg,43.7,PICOOC
2020-04-27,2020-04-27 09:53:48 +0900,bmi,22.0,PICOOC
2020-04-27,2020-04-27 09:53:48 +0900,body_fat_pct,31.0,PICOOC
2020-04-27,2020-04-27 09:53:48 +0900,body_mass_kg,62.9,PICOOC
2020-04-27,2020-04-27 09:53:48 +0900,lean_body_mass_kg,43.4,PICOOC
2020-04-28,2020-04-28 11:10:06 +0900,bmi,22.1,PICOOC
2020-04-28,2020-04-28 11:10:06 +0900,body_fat_pct,32.1,PICOOC
2020-04-28,2020-04-28 11:10:06 +0900,body_mass_kg,63.1,PICOOC
2020-04-28,2020-04-28 11:10:06 +0900,lean_body_mass_kg,42.8,PICOOC
2020-04-28,2020-04-28 23:32:08 +0900,bmi,22.3,PICOOC
2020-04-28,2020-04-28 23:32:08 +0900,body_fat_pct,30.0,PICOOC
2020-04-28,2020-04-28 23:32:08 +0900,body_mass_kg,63.6,PICOOC
2020-04-28,2020-04-28 23:32:08 +0900,lean_body_mass_kg,44.5,PICOOC
2020-04-29,2020-04-29 09:58:23 +0900,bmi,22.1,PICOOC
2020-04-29,2020-04-29 09:58:23 +0900,body_fat_pct,32.5,PICOOC
2020-04-29,2020-04-29 09:58:23 +0900,body_mass_kg,63.1,PICOOC
2020-04-29,2020-04-29 09:58:23 +0900,lean_body_mass_kg,42.6,PICOOC
2020-04-29,2020-04-29 16:46:04 +0900,bmi,22.0,PICOOC
2020-04-29,2020-04-29 16:46:04 +0900,body_fat_pct,31.8,PICOOC
2020-04-29,2020-04-29 16:46:04 +0900,body_mass_kg,62.7,PICOOC
2020-04-29,2020-04-29 16:46:04 +0900,lean_body_mass_kg,42.8,PICOOC
2020-04-30,2020-04-30 06:10:39 +0900,bmi,22.1,PICOOC
2020-04-30,2020-04-30 06:10:39 +0900,body_fat_pct,31.2,PICOOC
2020-04-30,2020-04-30 06:10:39 +0900,body_mass_kg,63.1,PICOOC
2020-04-30,2020-04-30 06:10:39 +0900,lean_body_mass_kg,43.4,PICOOC
2020-05-01,2020-05-01 00:11:52 +0900,bmi,22.0,PICOOC
2020-05-01,2020-05-01 00:11:52 +0900,body_fat_pct,29.4,PICOOC
2020-05-01,2020-05-01 00:11:52 +0900,body_mass_kg,62.7,PICOOC
2020-05-01,2020-05-01 00:11:52 +0900,lean_body_mass_kg,44.2,PICOOC
2020-05-01,2020-05-01 10:28:11 +0900,bmi,22.0,PICOOC
2020-05-01,2020-05-01 10:28:11 +0900,body_fat_pct,29.6,PICOOC
2020-05-01,2020-05-01 10:28:11 +0900,body_mass_kg,62.9,PICOOC
2020-05-01,2020-05-01 10:28:11 +0900,lean_body_mass_kg,44.3,PICOOC
2020-05-02,2020-05-02 00:51:06 +0900,bmi,21.9,PICOOC
2020-05-02,2020-05-02 00:51:06 +0900,body_fat_pct,30.3,PICOOC
2020-05-02,2020-05-02 00:51:06 +0900,body_mass_kg,62.6,PICOOC
2020-05-02,2020-05-02 00:51:06 +0900,lean_body_mass_kg,43.6,PICOOC
2020-05-02,2020-05-02 09:08:08 +0900,bmi,22.0,PICOOC
2020-05-02,2020-05-02 09:08:08 +0900,body_fat_pct,31.9,PICOOC
2020-05-02,2020-05-02 09:08:08 +0900,body_mass_kg,62.8,PICOOC
2020-05-02,2020-05-02 09:08:08 +0900,lean_body_mass_kg,42.8,PICOOC
2020-05-03,2020-05-03 21:33:01 +0900,bmi,22.2,PICOOC
2020-05-03,2020-05-03 21:33:01 +0900,body_fat_pct,29.6,PICOOC
2020-05-03,2020-05-03 21:33:01 +0900,body_mass_kg,63.5,PICOOC
2020-05-03,2020-05-03 21:33:01 +0900,lean_body_mass_kg,44.7,PICOOC
2020-05-04,2020-05-04 08:56:20 +0900,bmi,22.0,PICOOC
2020-05-04,2020-05-04 08:56:20 +0900,body_fat_pct,31.9,PICOOC
2020-05-04,2020-05-04 08:56:20 +0900,body_mass_kg,62.8,PICOOC
2020-05-04,2020-05-04 08:56:20 +0900,lean_body_mass_kg,42.8,PICOOC
2020-05-05,2020-05-05 12:18:25 +0900,bmi,22.2,PICOOC
2020-05-05,2020-05-05 12:18:25 +0900,body_fat_pct,28.5,PICOOC
2020-05-05,2020-05-05 12:18:25 +0900,body_mass_kg,63.3,PICOOC
2020-05-05,2020-05-05 12:18:25 +0900,lean_body_mass_kg,45.3,PICOOC
2020-05-06,2020-05-06 08:55:10 +0900,bmi,22.1,PICOOC
2020-05-06,2020-05-06 08:55:10 +0900,body_fat_pct,31.6,PICOOC
2020-05-06,2020-05-06 08:55:10 +0900,body_mass_kg,63.0,PICOOC
2020-05-06,2020-05-06 08:55:10 +0900,lean_body_mass_kg,43.1,PICOOC
2020-05-07,2020-05-07 00:33:53 +0900,bmi,22.1,PICOOC
2020-05-07,2020-05-07 00:33:53 +0900,body_fat_pct,31.1,PICOOC
2020-05-07,2020-05-07 00:33:53 +0900,body_mass_kg,63.0,PICOOC
2020-05-07,2020-05-07 00:33:53 +0900,lean_body_mass_kg,43.4,PICOOC
2020-05-07,2020-05-07 12:41:29 +0900,bmi,22.0,PICOOC
2020-05-07,2020-05-07 12:41:29 +0900,body_fat_pct,31.9,PICOOC
2020-05-07,2020-05-07 12:41:29 +0900,body_mass_kg,62.8,PICOOC
2020-05-07,2020-05-07 12:41:29 +0900,lean_body_mass_kg,42.8,PICOOC
2020-05-07,2020-05-07 21:39:53 +0900,bmi,22.0,PICOOC
2020-05-07,2020-05-07 21:39:53 +0900,body_fat_pct,30.9,PICOOC
2020-05-07,2020-05-07 21:39:53 +0900,body_mass_kg,62.7,PICOOC
2020-05-07,2020-05-07 21:39:53 +0900,lean_body_mass_kg,43.4,PICOOC
2020-05-08,2020-05-08 07:04:41 +0900,bmi,21.8,PICOOC
2020-05-08,2020-05-08 07:04:41 +0900,body_fat_pct,31.5,PICOOC
2020-05-08,2020-05-08 07:04:41 +0900,body_mass_kg,62.4,PICOOC
2020-05-08,2020-05-08 07:04:41 +0900,lean_body_mass_kg,42.7,PICOOC
2020-05-08,2020-05-08 22:47:09 +0900,bmi,21.8,PICOOC
2020-05-08,2020-05-08 22:47:09 +0900,body_fat_pct,28.9,PICOOC
2020-05-08,2020-05-08 22:47:09 +0900,body_mass_kg,62.4,PICOOC
2020-05-08,2020-05-08 22:47:09 +0900,lean_body_mass_kg,44.4,PICOOC
2020-05-09,2020-05-09 10:27:25 +0900,bmi,21.7,PICOOC
2020-05-09,2020-05-09 10:27:25 +0900,body_fat_pct,31.4,PICOOC
2020-05-09,2020-05-09 10:27:25 +0900,body_mass_kg,62.1,PICOOC
2020-05-09,2020-05-09 10:27:25 +0900,lean_body_mass_kg,42.6,PICOOC
2020-05-10,2020-05-10 11:27:40 +0900,bmi,21.6,PICOOC
2020-05-10,2020-05-10 11:27:40 +0900,body_fat_pct,31.1,PICOOC
2020-05-10,2020-05-10 11:27:40 +0900,body_mass_kg,61.7,PICOOC
2020-05-10,2020-05-10 11:27:40 +0900,lean_body_mass_kg,42.5,PICOOC
2020-05-10,2020-05-10 23:04:01 +0900,bmi,21.7,PICOOC
2020-05-10,2020-05-10 23:04:01 +0900,body_fat_pct,30.0,PICOOC
2020-05-10,2020-05-10 23:04:01 +0900,body_mass_kg,62.1,PICOOC
2020-05-10,2020-05-10 23:04:01 +0900,lean_body_mass_kg,43.4,PICOOC
2020-05-11,2020-05-11 08:58:59 +0900,bmi,21.7,PICOOC
2020-05-11,2020-05-11 08:58:59 +0900,body_fat_pct,31.3,PICOOC
2020-05-11,2020-05-11 08:58:59 +0900,body_mass_kg,61.9,PICOOC
2020-05-11,2020-05-11 08:58:59 +0900,lean_body_mass_kg,42.5,PICOOC
2020-05-11,2020-05-11 23:00:48 +0900,bmi,21.7,PICOOC
2020-05-11,2020-05-11 23:00:48 +0900,body_fat_pct,29.5,PICOOC
2020-05-11,2020-05-11 23:00:48 +0900,body_mass_kg,62.0,PICOOC
2020-05-11,2020-05-11 23:00:48 +0900,lean_body_mass_kg,43.7,PICOOC
2020-05-12,2020-05-12 08:59:17 +0900,bmi,21.7,PICOOC
2020-05-12,2020-05-12 08:59:17 +0900,body_fat_pct,31.7,PICOOC
2020-05-12,2020-05-12 08:59:17 +0900,body_mass_kg,61.9,PICOOC
2020-05-12,2020-05-12 08:59:17 +0900,lean_body_mass_kg,42.3,PICOOC
2020-05-13,2020-05-13 02:52:43 +0900,bmi,21.7,PICOOC
2020-05-13,2020-05-13 02:52:43 +0900,body_fat_pct,29.0,PICOOC
2020-05-13,2020-05-13 02:52:43 +0900,body_mass_kg,62.0,PICOOC
2020-05-13,2020-05-13 02:52:43 +0900,lean_body_mass_kg,44.0,PICOOC
2020-05-13,2020-05-13 09:07:32 +0900,bmi,21.7,PICOOC
2020-05-13,2020-05-13 09:07:32 +0900,body_fat_pct,30.8,PICOOC
2020-05-13,2020-05-13 09:07:32 +0900,body_mass_kg,61.9,PICOOC
2020-05-13,2020-05-13 09:07:32 +0900,lean_body_mass_kg,42.8,PICOOC
2020-05-13,2020-05-13 15:28:30 +0900,bmi,21.7,PICOOC
2020-05-13,2020-05-13 15:28:30 +0900,body_fat_pct,30.4,PICOOC
2020-05-13,2020-05-13 15:28:30 +0900,body_mass_kg,62.0,PICOOC
2020-05-13,2020-05-13 15:28:30 +0900,lean_body_mass_kg,43.1,PICOOC
2020-05-14,2020-05-14 07:16:38 +0900,bmi,21.7,PICOOC
2020-05-14,2020-05-14 07:16:38 +0900,body_fat_pct,30.9,PICOOC
2020-05-14,2020-05-14 07:16:38 +0900,body_mass_kg,62.0,PICOOC
2020-05-14,2020-05-14 07:16:38 +0900,lean_body_mass_kg,42.8,PICOOC
2020-05-15,2020-05-15 12:24:22 +0900,bmi,21.6,PICOOC
2020-05-15,2020-05-15 12:24:22 +0900,body_fat_pct,30.6,PICOOC
