date,steps,active_energy_kcal,exercise_min,distance_km
2017-04-30,10503,0,0,7.14
2017-05-01,4925,0,0,3.33
2017-05-02,10251,0,0,7.31
2017-05-03,4744,0,0,3.38
2017-05-04,9389,0,0,6.82
2017-05-05,7387,0,0,5.28
2017-05-06,698,0,0,0.49
2017-05-07,5675,0,0,3.75
2017-05-08,5084,0,0,3.51
2017-05-09,4167,0,0,2.85
2017-05-10,5017,0,0,3.64
2017-05-11,15244,0,0,10.87
2017-05-12,4541,0,0,3.15
2017-05-13,9791,0,0,6.29
2017-05-14,5518,0,0,3.78
2017-05-15,8825,0,0,6.28
2017-05-16,6239,0,0,4.09
2017-05-17,2884,0,0,2.17
2017-05-18,4840,0,0,3.42
2017-05-19,3385,0,0,2.36
2017-05-20,3299,0,0,2.36
2017-05-21,5070,0,0,3.62
2017-05-22,16487,0,0,11.61
2017-05-23,11041,0,0,7.45
2017-05-24,11522,0,0,7.86
2017-05-25,10895,0,0,7.69
2017-05-26,11570,0,0,8.08
2017-05-27,7203,0,0,4.94
2017-05-28,6502,0,0,3.95
2017-05-29,9369,0,0,6.74
2017-05-30,5762,0,0,4.15
2017-05-31,6064,0,0,4.32
2017-06-01,9231,0,0,6.43
2017-06-02,5907,0,0,4.22
2017-06-03,5268,0,0,3.85
2017-06-04,9352,0,0,6.96
2017-06-05,8720,0,0,6.04
2017-06-06,10290,0,0,6.69
2017-06-07,7315,0,0,5.24
2017-06-08,10351,0,0,6.98
2017-06-09,6328,0,0,4.46
2017-06-10,4650,0,0,3.19
2017-06-11,3033,0,0,1.97
2017-06-12,9097,0,0,6.3
2017-06-13,4508,0,0,3.08
2017-06-14,5974,0,0,4.21
2017-06-15,6109,0,0,4.36
2017-06-16,6598,0,0,4.77
2017-06-17,6986,0,0,5.22
2017-06-18,4391,0,0,3.33
2017-06-19,6821,0,0,4.69
2017-06-20,3731,0,0,2.67
2017-06-21,10628,0,0,7.62
2017-06-22,9761,0,0,6.91
2017-06-23,3441,0,0,2.34
2017-06-24,7438,0,0,5.02
2017-06-25,4149,0,0,2.9
2017-06-26,6623,0,0,4.66
2017-06-27,10406,0,0,7.38
2017-06-28,8976,0,0,6.23
2017-06-29,9749,0,0,6.75
2017-06-30,7644,0,0,5.34
2017-07-01,6516,0,0,4.3
2017-07-02,16870,0,0,12.3
2017-07-03,8836,0,0,6.18
2017-07-04,16221,0,0,12.17
2017-07-05,13866,0,0,10.01
2017-07-06,6033,0,0,4.53
2017-07-07,5864,0,0,4.23
2017-07-08,13775,0,0,9.87
2017-07-09,13740,0,0,9.78
2017-07-10,10922,0,0,7.84
2017-07-11,14657,0,0,10.42
2017-07-12,17473,0,0,12.97
2017-07-13,12798,0,0,9.33
2017-07-14,13159,0,0,9.55
2017-07-15,14509,0,0,10.34
2017-07-16,6769,0,0,4.99
2017-07-17,13855,0,0,10.27
2017-07-18,10139,0,0,7.25
2017-07-19,21015,0,0,15.35
2017-07-20,20678,0,0,14.63
2017-07-21,15108,0,0,11.42
2017-07-22,24400,0,0,17.85
2017-07-23,12740,0,0,9.5
2017-07-24,13968,0,0,10.02
2017-07-25,16118,0,0,11.4
2017-07-26,24904,0,0,18.34
2017-07-27,11843,0,0,8.82
2017-07-28,13779,0,0,9.9
2017-07-29,21755,0,0,15.37
2017-07-30,22263,0,0,15.67
2017-07-31,31162,0,0,21.42
2017-08-01,19343,0,0,13.64
2017-08-02,19853,0,0,14.49
2017-08-03,22311,0,0,16.16
2017-08-04,16378,0,0,11.42
2017-08-05,13404,0,0,9.26
2017-08-06,18156,0,0,12.46
2017-08-07,27752,0,0,19.51
2017-08-08,17362,0,0,12.36
2017-08-09,20959,0,0,14.97
2017-08-10,14289,0,0,10.56
2017-08-11,17118,0,0,12.38
2017-08-12,20455,0,0,14.36
2017-08-13,15971,0,0,11.2
2017-08-14,22460,0,0,15.69
2017-08-15,14767,0,0,10.79
2017-08-16,15406,0,0,11.15
2017-08-17,22691,0,0,16.21
2017-08-18,18545,0,0,13.18
2017-08-19,23065,0,0,16.61
2017-08-20,24408,0,0,17.61
2017-08-21,24978,0,0,18.14
2017-08-22,21016,0,0,14.71
2017-08-23,10791,0,0,7.82
2017-08-24,3898,0,0,2.54
2017-08-25,622,0,0,0.45
2017-08-26,4992,0,0,3.72
2017-08-27,3417,0,0,2.59
2017-08-28,413,0,0,0.31
2017-08-29,5877,0,0,4.39
2017-08-30,5063,0,0,3.82
2017-08-31,6336,0,0,4.46
2017-09-01,8788,0,0,6.21
2017-09-02,5950,0,0,4.18
2017-09-03,9554,0,0,6.94
2017-09-04,12578,0,0,9.36
2017-09-05,12599,0,0,9.21
2017-09-06,11812,0,0,9.0
2017-09-07,8986,0,0,6.62
2017-09-08,15840,0,0,11.8
2017-09-09,6713,0,0,5.06
2017-09-10,13299,0,0,9.96
2017-09-11,12065,0,0,8.62
2017-09-12,7164,0,0,5.22
2017-09-13,7928,0,0,5.89
2017-09-14,13069,0,0,9.5
2017-09-15,12109,0,0,9.07
2017-09-16,11054,0,0,8.13
2017-09-17,7065,0,0,5.23
2017-09-18,9199,0,0,6.82
2017-09-19,6714,0,0,4.86
2017-09-20,7260,0,0,5.5
2017-09-21,6642,0,0,4.8
2017-09-22,13243,0,0,9.76
2017-09-23,12664,0,0,9.22
2017-09-24,1035,0,0,0.75
2017-09-25,6523,0,0,4.95
2017-09-26,10988,0,0,8.37
2017-09-27,16138,0,0,11.68
2017-09-28,7081,0,0,5.22
2017-09-29,9913,0,0,7.44
2017-09-30,7881,0,0,5.67
2017-10-01,4280,0,0,3.18
2017-10-02,2859,0,0,2.14
2017-10-03,852,0,0,0.59
2017-10-04,4548,0,0,3.33
2017-10-05,151,0,0,0.11
2017-10-06,1547,0,0,1.21
2017-10-07,2008,0,0,1.49
2017-10-08,48,0,0,0.03
2017-10-09,2549,0,0,1.83
2017-10-10,7917,0,0,5.82
2017-10-11,3507,0,0,2.6
2017-10-12,9666,0,0,7.01
2017-10-13,3237,0,0,2.34
2017-10-14,10309,0,0,8.42
2017-10-15,1484,0,0,1.09
2017-10-16,7400,0,0,5.57
2017-10-17,6962,0,0,5.05
2017-10-18,4361,0,0,3.29
2017-10-19,2983,0,0,2.21
2017-10-20,2768,0,0,2.03
2017-10-21,2703,0,0,1.97
2017-10-22,1989,0,0,1.42
2017-10-23,3177,0,0,2.48
2017-10-24,2090,0,0,1.49
2017-10-25,10049,0,0,7.55
2017-10-26,3961,0,0,2.81
2017-10-27,10021,0,0,7.44
2017-10-28,13617,0,0,9.63
2017-10-29,1921,0,0,1.42
2017-10-30,6540,0,0,4.5
2017-10-31,5088,0,0,3.71
2017-11-01,7295,0,0,4.9
2017-11-02,7657,0,0,5.6
2017-11-03,8327,0,0,6.11
2017-11-04,5462,0,0,3.91
2017-11-05,6119,0,0,5.25
2017-11-06,6889,0,0,5.32
2017-11-07,10699,0,0,7.71
2017-11-08,7802,0,0,5.6
2017-11-09,5540,0,0,3.99
2017-11-10,12737,0,0,8.72
2017-11-11,1819,0,0,1.26
2017-11-12,3688,0,0,2.53
2017-11-13,5033,0,0,3.73
2017-11-14,5948,0,0,4.12
2017-11-15,7578,0,0,5.03
2017-11-16,3880,0,0,3.04
2017-11-17,11096,0,0,8.01
2017-11-18,11370,0,0,7.63
2017-11-19,8670,0,0,6.05
2017-11-20,5394,0,0,2.09
2017-11-21,10594,0,0,0
2017-11-22,11288,0,0,4.21
2017-11-23,6422,0,0,4.45
2017-11-24,9681,0,0,6.74
2017-11-25,3868,0,0,2.7
2017-11-26,14643,0,0,10.02
2017-11-27,9908,0,0,6.86
2017-11-28,4796,0,0,3.43
2017-11-29,7648,0,0,5.42
2017-11-30,4223,0,0,2.91
2017-12-01,4606,0,0,3.09
2017-12-02,8946,0,0,5.78
2017-12-03,18681,0,0,12.3
2017-12-04,6113,0,0,3.89
2017-12-05,5895,0,0,4.02
2017-12-06,6545,0,0,4.33
2017-12-07,9095,0,0,6.46
2017-12-08,4827,0,0,3.36
2017-12-09,5390,0,0,3.74
2017-12-10,8776,0,0,6.16
2017-12-11,3471,0,0,2.42
2017-12-12,5524,0,0,3.95
2017-12-13,4704,0,0,3.26
2017-12-14,4721,0,0,3.35
2017-12-15,6941,0,0,4.82
2017-12-16,5545,0,0,3.92
2017-12-17,3812,0,0,2.8
2017-12-18,5436,0,0,3.9
2017-12-19,6482,0,0,4.46
2017-12-20,2901,0,0,2.01
2017-12-22,21163,0,0,14.53
2017-12-23,7639,0,0,6.09
2017-12-24,9868,0,0,6.92
2017-12-25,5840,0,0,4.1
2017-12-26,6304,0,0,4.5
2017-12-27,5238,0,0,3.82
2017-12-28,4296,0,0,3.11
2017-12-29,11364,0,0,8.06
2017-12-30,2444,0,0,1.75
2017-12-31,1777,0,0,1.28
2018-01-01,10494,0,0,7.83
2018-01-02,4486,0,0,3.07
2018-01-03,1492,0,0,1.03
2018-01-04,4130,0,0,2.76
2018-01-05,3609,0,0,2.65
2018-01-06,1381,0,0,0.96
2018-01-07,2389,0,0,1.69
2018-01-08,2814,0,0,2.05
2018-01-09,5105,0,0,3.5
2018-01-10,3586,0,0,2.31
2018-01-11,1121,0,0,0.78
2018-01-12,6188,0,0,4.52
2018-01-13,3326,0,0,2.3
2018-01-14,5407,0,0,3.89
2018-01-15,14062,0,0,10.21
2018-01-16,24573,0,0,17.85
2018-01-17,327,0,0,0.25
2018-01-18,1916,0,0,1.5
2018-01-19,1853,0,0,1.32
2018-01-20,5035,0,0,3.61
2018-01-21,9463,0,0,7.25
2018-01-22,5988,0,0,4.41
2018-01-23,1794,0,0,1.32
2018-01-24,1419,0,0,1.02
2018-01-25,4441,0,0,3.28
2018-01-26,14712,0,0,10.42
2018-01-27,8049,0,0,0
2018-01-28,2922,0,0,0
2018-01-29,4166,0,0,0.06
2018-01-30,6062,0,0,4.07
2018-01-31,144,0,0,0.1
2018-02-01,12308,0,0,7.8
2018-02-02,3779,0,0,2.78
2018-02-03,6996,0,0,4.97
2018-02-04,9763,0,0,6.73
2018-02-05,12796,0,0,9.39
2018-02-06,162,0,0,0.12
2018-02-07,10356,0,0,7.19
2018-02-08,6960,0,0,4.69
2018-02-09,8651,0,0,5.92
2018-02-10,9035,0,0,6.07
2018-02-11,4353,0,0,2.84
2018-02-12,7485,0,0,5.35
2018-02-13,9238,0,0,6.46
2018-02-14,6964,0,0,4.95
2018-02-15,2258,0,0,1.63
2018-02-16,2271,0,0,1.73
2018-02-17,234,0,0,0.16
2018-02-18,12777,0,0,8.95
2018-02-19,9249,0,0,6.91
2018-02-20,10751,0,0,8.08
2018-02-21,8585,0,0,6.23
2018-02-22,13136,0,0,8.88
2018-02-23,4604,0,0,3.41
2018-02-24,8090,0,0,5.29
2018-02-25,135,0,0,0.1
2018-02-26,2651,0,0,1.96
2018-02-27,383,0,0,0.27
2018-02-28,580,0,0,0.41
2018-03-01,520,0,0,0.36
2018-03-02,1986,0,0,1.44
2018-03-03,42,0,0,0.03
2018-03-04,692,0,0,0.49
2018-03-05,12210,0,0,9.18
2018-03-06,14829,0,0,10.22
2018-03-07,8296,0,0,6.0
2018-03-08,9629,0,0,7.13
2018-03-09,4168,0,0,3.01
2018-03-10,7745,0,0,5.23
2018-03-11,66,0,0,0.05
2018-03-12,13030,0,0,9.36
2018-03-13,5078,0,0,3.72
2018-03-14,15302,0,0,10.43
2018-03-15,10354,0,0,7.49
2018-03-16,5787,0,0,4.02
2018-03-17,11117,0,0,7.63
2018-03-18,1728,0,0,8.1
2018-03-19,503,0,0,0.36
2018-03-20,10280,0,0,7.19
2018-03-21,6954,0,0,4.9
2018-03-22,11918,0,0,8.31
2018-03-23,15242,0,0,10.74
2018-03-24,6471,0,0,4.77
2018-03-25,2388,0,0,1.79
2018-03-26,8954,0,0,6.63
2018-03-27,6574,0,0,4.81
2018-03-28,11600,0,0,8.65
2018-03-29,10381,0,0,7.19
2018-03-30,20062,0,0,14.42
2018-03-31,13963,0,0,10.06
2018-04-01,7898,0,0,5.65
2018-04-02,14844,0,0,11.06
2018-04-03,9198,0,0,6.59
2018-04-04,15144,0,0,10.01
2018-04-05,4097,0,0,2.91
2018-04-06,12678,0,0,9.13
2018-04-07,4023,0,0,2.75
2018-04-08,10378,0,0,6.8
2018-04-09,14997,0,0,10.41
2018-04-10,9116,0,0,6.69
2018-04-11,12154,0,0,8.92
2018-04-12,6956,0,0,5.15
2018-04-13,16138,0,0,11.85
2018-04-14,4883,0,0,3.34
2018-04-15,3422,0,0,2.4
2018-04-16,8332,0,0,6.16
2018-04-17,6299,0,0,4.68
2018-04-18,7504,0,0,5.7
2018-04-19,7532,0,0,5.73
2018-04-20,6024,0,0,4.2
2018-04-21,7409,0,0,5.49
2018-04-22,12157,0,0,9.02
2018-04-23,4262,0,0,2.98
2018-04-24,8257,0,0,6.05
2018-04-25,4928,0,0,3.46
2018-04-26,5594,0,0,4.15
2018-04-27,4010,0,0,3.05
2018-04-28,16642,0,0,12.59
2018-04-29,3539,0,0,2.64
2018-04-30,9398,0,0,6.94
2018-05-01,9731,0,0,7.13
2018-05-02,11416,0,0,8.46
2018-05-03,6167,0,0,4.49
2018-05-04,12398,0,0,8.87
2018-05-05,6566,0,0,4.93
2018-05-06,2770,0,0,2.03
2018-05-07,3860,0,0,2.93
2018-05-08,10307,0,0,13.78
2018-05-09,14032,0,0,21.31
2018-05-10,13086,0,0,18.62
2018-05-11,9204,0,0,13.69
2018-05-12,4447,0,0,5.67
2018-05-13,6325,0,0,9.41
2018-05-14,8588,0,0,12.74
2018-05-15,9035,0,0,13.44
2018-05-16,9712,0,0,14.2
2018-05-17,6275,0,0,6.17
2018-05-18,14526,0,0,10.69
2018-05-19,11339,0,0,8.48
2018-05-20,8955,0,0,6.33
2018-05-21,10987,0,0,8.34
2018-05-22,3659,0,0,2.74
2018-05-23,13347,0,0,9.81
2018-05-24,12995,0,0,9.78
2018-05-25,17997,0,0,13.05
2018-05-26,10757,0,0,7.79
2018-05-27,8206,0,0,6.33
2018-05-28,11555,0,0,8.32
2018-05-29,11080,0,0,8.03
2018-05-30,5315,0,0,3.97
2018-05-31,9496,0,0,7.05
2018-06-01,7320,0,0,5.15
2018-06-02,5756,0,0,4.14
2018-06-03,5686,0,0,4.27
2018-06-04,14082,0,0,10.21
2018-06-05,8675,0,0,6.46
2018-06-06,12898,0,0,9.6
2018-06-07,8121,0,0,5.87
2018-06-08,6702,0,0,4.99
2018-06-09,7053,0,0,4.85
2018-06-10,4490,0,0,3.35
2018-06-11,3179,0,0,2.33
2018-06-12,3466,0,0,2.55
2018-06-13,4407,0,0,3.07
2018-06-14,7755,0,0,5.71
2018-06-15,4851,0,0,3.63
2018-06-16,18035,0,0,13.42
2018-06-17,3193,0,0,2.34
2018-06-18,596,0,0,0.43
2018-06-19,3230,0,0,2.43
2018-06-20,9925,0,0,6.92
2018-06-21,6625,0,0,4.88
2018-06-22,7366,0,0,5.42
2018-06-23,3023,0,0,2.17
2018-06-24,6007,0,0,4.5
2018-06-25,4032,0,0,2.88
2018-06-26,110,0,0,0.08
2018-06-27,7340,0,0,5.66
2018-06-28,2444,0,0,1.76
2018-06-29,9980,0,0,7.42
2018-06-30,5931,0,0,4.45
2018-07-01,4045,0,0,2.87
2018-07-02,4431,0,0,3.22
2018-07-03,7205,0,0,5.57
2018-07-04,7742,0,0,5.84
2018-07-05,5519,0,0,4.02
2018-07-06,10965,0,0,7.82
2018-07-07,14852,0,0,10.6
2018-07-08,5511,0,0,4.17
2018-07-09,4636,0,0,3.47
2018-07-10,2683,0,0,2.03
2018-07-11,6542,0,0,4.84
2018-07-12,70,0,0,0.05
2018-07-13,6281,0,0,4.53
2018-07-14,4122,0,0,3.02
2018-07-15,3746,0,0,2.75
2018-07-16,5566,0,0,4.14
2018-07-17,2398,0,0,1.71
2018-07-18,7201,0,0,5.26
2018-07-19,2914,0,0,2.23
2018-07-20,7718,0,0,5.82
2018-07-21,9818,0,0,7.03
2018-07-22,4704,0,0,3.5
2018-07-23,7945,0,0,6.0
2018-07-24,5919,0,0,4.16
2018-07-25,2227,0,0,1.64
2018-07-26,6487,0,0,4.82
2018-07-27,15087,0,0,11.47
2018-07-28,13231,0,0,9.52
2018-07-29,2112,0,0,1.55
2018-07-30,16579,0,0,12.25
2018-07-31,12781,0,0,9.21
2018-08-01,8670,0,0,6.1
2018-08-02,8262,0,0,6.1
2018-08-03,4889,0,0,3.52
2018-08-04,323,0,0,0.23
2018-08-05,3768,0,0,2.81
2018-08-06,9778,0,0,7.12
2018-08-07,9401,0,0,6.85
2018-08-08,4324,0,0,3.12
2018-08-09,3354,0,0,2.4
2018-08-10,3962,0,0,2.93
2018-08-11,11692,0,0,8.63
2018-08-12,7336,0,0,5.3
2018-08-13,6412,0,0,4.45
2018-08-14,7437,0,0,5.38
2018-08-15,2583,0,0,1.91
2018-08-16,8884,0,0,6.63
2018-08-17,2866,0,0,2.11
2018-08-18,4900,0,0,3.56
2018-08-19,4007,0,0,2.99
2018-08-20,3563,0,0,2.63
2018-08-21,5941,0,0,4.43
2018-08-22,4924,0,0,3.67
2018-08-23,2861,0,0,2.1
2018-08-24,1878,0,0,1.4
2018-08-25,17737,0,0,14.44
2018-08-26,3129,0,0,2.22
2018-08-27,7131,0,0,5.24
2018-08-28,6667,0,0,4.79
2018-08-29,16073,0,0,10.69
2018-08-30,3715,0,0,2.84
2018-08-31,48,0,0,0.03
2018-09-01,8623,0,0,6.42
2018-09-02,9698,0,0,7.25
2018-09-03,8067,0,0,5.84
2018-09-04,10436,0,0,7.8
2018-09-05,11871,0,0,8.85
2018-09-06,5802,0,0,4.41
2018-09-07,8071,0,0,5.98
2018-09-08,8264,0,0,5.99
2018-09-09,3940,0,0,2.98
2018-09-10,10816,0,0,7.97
2018-09-11,9167,0,0,6.72
2018-09-12,7178,0,0,5.26
2018-09-13,6523,0,0,4.78
2018-09-14,5659,0,0,4.19
2018-09-15,13687,0,0,9.21
2018-09-16,17058,0,0,11.49
2018-09-17,8389,0,0,6.18
2018-09-18,7445,0,0,5.4
2018-09-19,7568,0,0,5.03
2018-09-20,12984,0,0,9.67
2018-09-21,13519,0,0,9.87
2018-09-22,8345,0,0,5.88
2018-09-23,239,0,0,0.17
2018-09-24,7204,0,0,5.22
2018-09-25,13643,0,0,10.0
2018-09-26,3906,0,0,2.72
2018-09-27,243,0,0,0.22
2018-09-28,4076,0,0,2.81
2018-09-29,16638,0,0,12.23
2018-09-30,3842,0,0,2.82
2018-10-01,9757,0,0,7.53
2018-10-02,4454,0,0,3.26
2018-10-03,15573,0,0,11.22
2018-10-04,14879,0,0,11.03
2018-10-05,8872,0,0,6.05
2018-10-06,25153,0,0,17.77
2018-10-09,13397,0,0,9.69
2018-10-10,11602,0,0,8.85
2018-10-11,19524,0,0,14.33
2018-10-12,29296,0,0,20.74
2018-10-15,3287,0,0,2.25
2018-10-16,15600,0,0,11.0
2018-10-18,13086,0,0,9.58
2018-10-19,4115,0,0,3.06
2018-10-20,4311,0,0,3.24
2018-10-21,8960,0,0,6.8
2018-10-22,9907,0,0,7.3
2018-10-23,8679,0,0,6.54
2018-10-24,8562,0,0,6.17
2018-10-25,8259,0,0,5.97
2018-10-26,15161,0,0,11.18
2018-10-27,10212,0,0,7.28
2018-10-28,4620,0,0,3.38
2018-10-29,19841,0,0,14.57
2018-10-31,16973,0,0,12.28
2018-11-01,3525,0,0,2.64
2018-11-02,5738,0,0,4.03
2018-11-03,15802,0,0,11.16
2018-11-04,1072,0,0,0.72
2018-11-05,6295,0,0,4.8
2018-11-06,13887,0,0,9.79
2018-11-07,5569,0,0,4.13
2018-11-08,5650,0,0,3.94
2018-11-09,12891,0,0,9.49
2018-11-10,9620,0,0,7.42
2018-11-11,1963,0,0,1.44
2018-11-12,27148,0,0,19.68
2018-11-14,4125,0,0,3.09
2018-11-15,6901,0,0,4.81
2018-11-16,8920,0,0,6.31
2018-11-17,108,0,0,0.08
2018-11-18,4190,0,0,3.2
2018-11-19,9310,0,0,6.6
2018-11-20,6993,0,0,5.18
2018-11-21,1441,0,0,1.06
2018-11-22,10127,0,0,6.97
2018-11-23,20483,0,0,14.92
2018-11-24,3894,0,0,2.61
2018-11-25,19471,0,0,13.62
2018-11-27,68,0,0,0.05
2018-11-28,8395,0,0,6.03
2018-11-29,12813,0,0,9.7
2018-11-30,2771,0,0,2.01
2018-12-01,4591,0,0,3.4
2018-12-02,4673,0,0,3.49
2018-12-03,10089,0,0,7.1
2018-12-04,2638,0,0,1.83
2018-12-05,7958,0,0,5.76
2018-12-06,10066,0,0,6.93
2018-12-07,3602,0,0,2.22
2018-12-08,2015,0,0,1.34
2018-12-09,11799,0,0,7.73
2018-12-10,7965,0,0,5.4
2018-12-11,5994,0,0,4.04
2018-12-12,8302,0,0,5.76
2018-12-13,8780,0,0,6.2
2018-12-14,15933,0,0,10.94
2018-12-16,3900,0,0,2.7
2018-12-17,8746,0,0,6.19
2018-12-18,3752,0,0,2.57
2018-12-19,2451,0,0,1.78
2018-12-20,21447,0,0,15.5
2018-12-22,12061,0,0,8.25
2018-12-23,9427,0,0,6.53
2018-12-24,9762,0,0,7.05
2018-12-25,9818,0,0,7.06
2018-12-26,3807,0,0,2.72
2018-12-27,5722,0,0,4.18
2018-12-28,6203,0,0,4.08
2018-12-29,8533,0,0,6.11
2018-12-30,18710,0,0,12.05
2018-12-31,13903,0,0,9.47
2019-01-01,14520,0,0,10.03
2019-01-02,7532,0,0,4.67
2019-01-03,8939,0,0,6.54
2019-01-04,10060,0,0,7.23
2019-01-05,4756,0,0,3.36
2019-01-06,2574,0,0,1.77
2019-01-07,8558,0,0,6.08
2019-01-08,3449,0,0,2.36
2019-01-09,7422,0,0,5.06
2019-01-10,10317,0,0,7.19
2019-01-11,14613,0,0,9.73
2019-01-12,6909,0,0,5.25
2019-01-13,2602,0,0,2.0
2019-01-14,2772,0,0,2.08
2019-01-15,5328,0,0,3.71
2019-01-16,2919,0,0,2.11
2019-01-17,12439,0,0,8.25
2019-01-18,5332,0,0,3.47
2019-01-19,3003,0,0,2.36
2019-01-20,7999,0,0,5.68
2019-01-21,4377,0,0,3.11
2019-01-22,546,0,0,0.37
2019-01-23,11183,0,0,8.46
2019-01-24,6395,0,0,4.63
2019-01-25,2054,0,0,1.54
2019-01-26,2827,0,0,2.09
2019-01-27,3659,0,0,2.69
2019-01-28,5951,0,0,4.13
2019-01-29,9156,0,0,6.76
2019-01-30,4497,0,0,3.08
2019-01-31,6368,0,0,4.58
2019-02-01,7671,0,0,5.47
2019-02-02,15542,0,0,10.83
2019-02-03,3160,0,0,2.14
2019-02-04,1775,0,0,1.25
2019-02-05,1162,0,0,0.83
2019-02-06,913,0,0,0.64
2019-02-07,9210,0,0,6.46
2019-02-08,2680,0,0,1.78
2019-02-09,11119,0,0,7.52
2019-02-10,2342,0,0,1.69
2019-02-11,9577,0,0,6.79
2019-02-12,6340,0,0,4.4
2019-02-13,5617,0,0,4.06
2019-02-14,11670,0,0,8.42
2019-02-15,9890,0,0,7.15
2019-02-16,4909,0,0,3.25
2019-02-17,9675,0,0,6.62
2019-02-18,5683,0,0,4.01
2019-02-19,10809,0,0,6.78
2019-02-20,5624,0,0,3.75
2019-02-21,5507,0,0,3.9
2019-02-22,13490,0,0,9.94
2019-02-23,7607,0,0,5.65
2019-02-24,9005,0,0,6.21
2019-02-25,13239,0,0,10.13
2019-02-26,8295,0,0,6.0
2019-02-27,8834,0,0,6.54
2019-02-28,10447,0,0,7.51
2019-03-01,18500,0,0,13.32
2019-03-02,2616,0,0,1.72
2019-03-03,4176,0,0,2.73
2019-03-04,9781,0,0,6.95
2019-03-05,11774,0,0,8.27
2019-03-06,6144,0,0,4.53
2019-03-07,4847,0,0,3.5
2019-03-08,10581,0,0,7.49
2019-03-09,12114,0,0,8.52
2019-03-10,8378,0,0,6.21
2019-03-11,14546,0,0,11.67
2019-03-12,10591,0,0,8.15
2019-03-13,4572,0,0,3.3
2019-03-14,4834,0,0,3.4
2019-03-15,6377,0,0,4.49
